NestID,FemaleID,Female,Year,MaleID,IbuttonFile,Jdate,IncubateDay,Sunrise.Seconds,StartTime,EndTime,MidTime,Length,ClosestHourMid(sec),Length.Minute,OnOrOff,FirstOff,StartTemp,EndTemp,MidTemp,TempRow,Ambient,AmbientNL,AmbientDH,Clutch Size,Sampled
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,49020,50580,49800,1560,50400,26,On,No,22,24,23,51,19.4,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,50580,51180,50880,600,50400,10,Off,No,24,22.5,23.25,51,19.4,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,51180,53100,52140,1920,50400,32,On,No,22.5,23,22.75,51,19.4,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,53100,53580,53340,480,54000,8,Off,No,23,22,22.5,51,18.9,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,53580,55260,54420,1680,54000,28,On,No,22,24,23,51,18.9,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,55260,56460,55860,1200,57600,20,Off,No,24,22,23,51,19.7,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,56460,57900,57180,1440,57600,24,On,No,22,25.5,23.75,51,19.7,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,57900,58740,58320,840,57600,14,Off,No,25.5,23,24.25,51,19.7,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,58740,60180,59460,1440,61200,24,On,No,23,27,25,51,20.5,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,60180,60780,60480,600,61200,10,Off,No,27,24.5,25.75,51,20.5,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,60780,62700,61740,1920,61200,32,On,No,24.5,26.5,25.5,51,20.5,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,62700,63660,63180,960,64800,16,Off,No,26.5,23,24.75,51,19.9,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,63660,65580,64620,1920,64800,32,On,No,23,25.5,24.25,51,19.9,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,65580,66180,65880,600,64800,10,Off,No,25.5,23,24.25,51,19.9,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,66180,68460,67320,2280,68400,38,On,No,23,25,24,51,19.3,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,68460,69060,68760,600,68400,10,Off,No,25,23.5,24.25,51,19.3,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,69060,70620,69840,1560,68400,26,On,No,23.5,24.5,24,51,19.3,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,174,5,16800,70620,71340,70980,720,72000,12,Off,No,24.5,22,23.25,51,18.4,16.9,20.5,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,18660,19140,18900,480,18000,8,Off,Yes - On All Night,23,20,21.5,52,18.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,19140,19860,19500,720,18000,12,On,No,20,21.5,20.75,52,18.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,19860,20820,20340,960,21600,16,Off,No,21.5,20,20.75,52,17.5,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,20820,22380,21600,1560,21600,26,On,No,20,23,21.5,52,17.5,15.9,20.4,4,4
